Timestamp [ms],Force Sensor (RL) [V],Force Sensor (LL) [V],EMG (RL) [V],EMG (LL) [V]
945,1.4760508308895406,1.4809384164222874,1.4809384164222874,1.4809384164222874
976,1.466275659824047,1.4760508308895406,1.4711632453567938,1.4760508308895406
1008,1.466275659824047,1.4711632453567938,1.466275659824047,1.4711632453567938
1040,1.4613880742913001,1.4613880742913001,1.4613880742913001,1.4613880742913001
1070,1.4565004887585533,1.4613880742913001,1.4613880742913001,1.4613880742913001
1101,1.466275659824047,1.4711632453567938,1.466275659824047,1.466275659824047
1132,1.466275659824047,1.4711632453567938,1.4711632453567938,1.4711632453567938
1163,1.466275659824047,1.4711632453567938,1.4711632453567938,1.4711632453567938
1195,1.466275659824047,1.4711632453567938,1.4711632453567938,1.4711632453567938
1226,1.4613880742913001,1.466275659824047,1.466275659824047,1.466275659824047
1257,1.4565004887585533,1.4565004887585533,1.4565004887585533,1.4565004887585533
1289,1.4516129032258065,1.4565004887585533,1.4565004887585533,1.4516129032258065
1321,1.4516129032258065,1.4565004887585533,1.4516129032258065,1.4516129032258065
1351,1.4565004887585533,1.4613880742913001,1.4613880742913001,1.4565004887585533
1381,1.4613880742913001,1.466275659824047,1.466275659824047,1.466275659824047
1411,1.4516129032258065,1.4516129032258065,1.4516129032258065,1.4565004887585533
1441,1.4418377321603129,1.4467253176930597,1.4418377321603129,1.4418377321603129
1471,1.4418377321603129,1.4467253176930597,1.4418377321603129,1.4418377321603129
1503,1.4467253176930597,1.4516129032258065,1.4467253176930597,1.4467253176930597
1534,1.4516129032258065,1.4565004887585533,1.4516129032258065,1.4516129032258065
1567,1.4516129032258065,1.4565004887585533,1.4565004887585533,1.4565004887585533
1598,1.4565004887585533,1.4613880742913001,1.4613880742913001,1.4613880742913001
1632,1.4613880742913001,1.4613880742913001,1.4613880742913001,1.4613880742913001
1663,1.4613880742913001,1.4613880742913001,1.4613880742913001,1.4613880742913001
1692,1.4418377321603129,1.4467253176930597,1.4418377321603129,1.4467253176930597
1721,1.4418377321603129,1.4467253176930597,1.4418377321603129,1.4418377321603129
1767,1.4711632453567938,1.4760508308895406,1.4711632453567938,1.4711632453567938
