v1,v2,v3
30,135,52
31,132,54
31,132,55
30,132,54
31,134,55
31,136,53
30,137,51
29,140,52
32,138,53
28,109,58
27,109,60
29,113,59
28,113,60
28,113,61
27,107,62
27,111,60
30,105,61
28,101,62
27,104,61
28,99,62
29,102,61
28,93,62
27,97,60
26,101,61
28,94,59
26,97,60
28,96,59
28,95,60
29,96,58
27,100,58
28,101,57
28,100,59
28,97,58
28,100,58
29,98,56
29,98,57
28,97,57
28,105,57
28,104,54
27,105,56
28,109,55
29,107,56
27,107,55
29,106,56
29,98,56
28,100,54
27,98,53
27,96,54
28,94,55
27,98,55
27,97,56
28,92,55
27,97,52
28,93,54
28,95,54
29,101,54
28,101,53
27,99,54
29,107,54
28,101,54
28,102,53
27,98,52
27,99,52
29,101,53
28,94,52
28,96,52
28,100,51
27,98,52
28,94,53
28,100,53
27,102,51
28,105,52
28,100,51
28,100,52
27,103,50
28,107,49
27,107,51
27,123,49
27,123,51
28,129,49
28,121,48
28,120,50
28,113,49
28,118,49
28,119,49
27,115,50
28,119,50
26,124,49
26,120,49
27,126,48
27,123,50
27,130,47
29,121,49
26,127,49
29,125,48
27,126,49
28,131,50
27,130,48
30,130,54
28,106,60
27,112,63
27,107,61
28,108,62
29,110,69
28,110,61
27,112,62
28,110,61
29,109,61
27,96,60
28,96,60
26,97,60
28,90,60
28,90,59
28,90,59
26,84,57
28,95,58
28,89,58
29,86,58
29,86,57
26,86,57
28,85,57
27,82,57
27,80,56
26,85,55
27,84,56
27,80,54
27,83,56
27,82,54
26,82,55
29,95,54
28,105,54
27,99,54
28,99,54
27,97,53
27,91,52
28,94,53
27,92,52
28,92,44
29,94,53
27,96,52
26,103,53
28,98,52
26,94,52
27,92,52
27,95,51
26,100,51
29,95,51
28,100,51
27,100,52
27,95,50
28,99,50
27,93,49
27,96,49
27,94,50
27,89,50
28,97,49
26,92,51
28,88,50
28,94,49
32,90,50
27,93,50
27,93,50
23,92,48
27,93,48
27,87,50
28,93,49
26,90,48
27,88,49
28,92,48
27,95,49
28,102,49
27,100,50
28,106,47
27,101,48
27,102,48
27,105,49
27,107,48
27,110,49
26,113,48
28,115,48
27,114,48
27,111,47
27,115,49
29,114,50
26,110,47
29,116,49
27,113,50
28,107,49
27,114,48
28,225,58
30,224,58
30,213,58
29,217,59
29,214,58
28,210,59
27,212,58
28,193,60
27,196,59
28,190,59
27,184,61
29,181,59
28,172,58
29,173,58
26,177,58
28,170,58
28,170,59
27,168,56
28,168,58
27,167,58
28,159,58
27,159,55
27,156,55
28,152,58
28,160,57
27,158,55
28,155,55
27,150,55
26,151,56
28,155,57
28,146,55
28,144,55
28,139,56
27,155,53
28,153,49
27,155,53
28,155,55
28,149,54
27,148,52
27,153,53
27,151,51
28,148,53
28,148,53
26,142,53
27,146,54
28,140,52
29,149,52
29,150,51
26,148,52
28,156,53
29,146,52
26,146,51
28,141,52
28,144,51
27,145,51
28,143,52
27,144,51
28,134,51
28,136,51
27,140,50
28,188,49
30,185,50
28,176,51
29,174,50
28,177,51
28,173,49
28,179,49
28,171,49
29,171,51
29,169,49
29,165,49
29,181,49
29,175,48
29,174,49
28,174,48
30,181,50
29,179,49
28,174,48
29,182,49
28,190,48
28,183,47
28,184,48
28,180,47
27,185,50
29,185,49
17,188,48
28,192,48
28,183,48
29,180,48
28,185,49
28,121,60
28,122,61
28,116,59
27,113,63
28,111,59
27,106,60
27,112,61
27,112,58
27,113,61
27,107,60
27,113,60
28,112,58
25,107,58
28,101,58
26,107,57
26,112,56
26,104,55
26,108,56
27,104,52
26,104,56
27,100,55
28,107,55
28,103,54
29,101,55
26,103,55
28,101,53
29,102,54
25,104,54
27,103,54
28,99,53
27,102,53
26,100,51
26,100,53
27,97,51
25,106,52
27,102,51
28,105,51
27,103,52
26,101,51
28,96,51
27,96,51
26,98,51
26,94,51
28,103,51
28,94,49
28,97,52
26,95,51
28,100,52
26,95,49
27,91,51
27,90,48
26,92,49
26,93,50
27,93,49
27,96,48
26,100,50
27,91,48
27,107,46
26,109,49
27,105,49
27,113,51
26,110,51
27,112,48
26,109,49
27,119,49
27,119,48
27,122,48
28,122,48
27,117,49
27,115,49
27,117,48
26,114,49
27,114,49
27,109,49
26,113,47
27,119,48
26,120,47
26,123,49
28,118,48
26,129,49
27,128,48
28,123,48
28,132,50
26,130,47
27,129,48
28,129,48
27,125,50
25,129,48
28,130,48
28,128,48
29,124,58
29,121,58
28,120,57
28,112,58
27,118,58
27,111,56
27,106,56
29,106,58
27,107,59
27,105,57
26,104,59
27,101,57
28,98,59
27,93,57
27,106,58
28,104,56
26,99,57
27,98,57
26,96,56
28,97,56
28,95,57
27,98,57
